Ticket_Subject,Ticket_Description,Product_Purchased,Ticket_Channel,Ticket_Type,Customer_Age,Ticket_Priority
Problema no Computador Desktop - reunião amanhã,Recebi o Computador Desktop com embalagem completamente avariada. O produto chegou com danos físicos visíveis externos.,Computador Desktop,Telefone,Cancelamento,21,Alta
Help,eita problema,Impressora HP,Telefone,Problema Técnico,56,Média
Reclamação,q problema,Computador Desktop,Email,Dúvida,51,Baixa
Fogão 5 Bocas com faísca elétrica,O Fogão 5 Bocas não lê mais nenhum tipo de mídia inserida nele. Totalmente inoperante.,Fogão 5 Bocas,Chat,Problema Técnico,41,Urgente
Computador Desktop quebrou - sem produtividade,Computador Desktop emperrado.,Computador Desktop,Telefone,Dúvida,43,Média
Defeito no MacBook Air - home office,"O MacBook Air superaquece intensamente ao ser ligado, ficando quente em menos de cinco minutos de uso. Desliguei por segurança. Tem apenas dois meses de uso e é completamente anormal.",MacBook Air,Chat,Problema Técnico,81,Urgente
Notebook Lenovo quebrou - sem produtividade,O Notebook Lenovo superaquecendo de forma intensa. Fica extremamente quente em menos de cinco minutos de uso.,Notebook Lenovo,Chat,Problema Técnico,77,Urgente
Reclamação,isso nao presta,Micro-ondas,Telefone,Cancelamento,33,Baixa
Defeito no Airfryer Philips,O Airfryer Philips com bateria não durando mais de vinte minutos por carga. Produto com seis meses de uso. Calibrei seguindo todas as instruções do manual oficial mas sem melhora nenhuma.,Airfryer Philips,Telefone,Dúvida,74,Média
Assistência Caixa de Som JBL,O Caixa de Som JBL apresentou cheiro de queimado forte. Desliguei imediatamente por questão de segurança da família.,Caixa de Som JBL,Email,Cancelamento,76,Média
Defeito no iPhone 14 - home office,Solicitei o cancelamento do contrato de assistência do iPhone 14 há quinze dias e continuo sendo cobrado indevidamente. Já enviei três emails sem resposta. Vou acionar o Procon.,iPhone 14,Chat,Dúvida,44,Média
Suporte: Câmera GoPro Hero,O Câmera GoPro Hero não liga mais e ainda está dentro do prazo legal de garantia do produto.,Câmera GoPro Hero,Chat,Problema Técnico,40,Alta
Controle Xbox com comportamento estranho,O Controle Xbox reiniciando em loop contínuo e sem parar. Não consigo usar de jeito algum.,Controle Xbox,Chat,Reclamação,53,Média
URGENTE - Aquecedor a Gás,O Aquecedor a Gás não aquece mais como antes. Parou depois de anos funcionando perfeitamente bem.,Aquecedor a Gás,Email,Cancelamento,66,Alta
Não funciona,urgente!!,MacBook Pro,Chat,Dúvida,85,Baixa
Câmera Canon EOS com falha leve,"O Câmera Canon EOS apresenta cheiro de queimado e faíscas visíveis na parte traseira. Desliguei por segurança. É risco real de incêndio e preciso de técnico hoje, pois não consigo usar o aparelho.",Câmera Canon EOS,Email,Solicitação de reembolso,69,Média
Emergência: Fogão não funciona,O Fogão com imagem desfocada e distorcida mesmo após todos os ajustes manuais possíveis.,Fogão,Email,Reclamação,47,Alta
Problema grave no Bebedouro,Técnico realizou manutenção no Bebedouro mas o mesmo defeito voltou no dia seguinte.,Bebedouro,Chat,Cancelamento,59,Alta
Computador Desktop quebrou - sem produtividade,O Computador Desktop com bateria não durando mais de vinte minutos por carga. Produto com seis meses de uso. Calibrei seguindo todas as instruções do manual oficial mas sem melhora nenhuma.,Computador Desktop,Telefone,Reclamação,67,Urgente
Urgente: Aquecedor a Gás com risco de incêndio,"O Aquecedor a Gás para durante o uso, a luz indicadora apaga e só volta a funcionar após trinta minutos desligado. Já aconteceu quatro vezes essa semana com apenas três meses de uso.",Aquecedor a Gás,Telefone,Solicitação de reembolso,32,Alta
Aquecedor a Gás com faísca elétrica,O Aquecedor a Gás caiu e a tela quebrou parcialmente. Ainda funciona mas está inutilizável profissionalmente. É minha principal ferramenta de trabalho. Preciso saber sobre cobertura de garantia.,Aquecedor a Gás,Chat,Solicitação de reembolso,21,Alta
Bebedouro com vazamento perigoso,O Bebedouro parou do nada sem nenhuma queda ou impacto visível. Já fiz todos os procedimentos indicados no manual sem qualquer resultado positivo. Preciso de visita técnica domiciliar.,Bebedouro,Email,Cancelamento,35,Média
Notebook Dell XPS tela quebrada - urgente,Faísca na tomada.,Notebook Dell XPS,Telefone,Cancelamento,74,Alta
Problema no Samsung Galaxy S23 - reunião amanhã,"O Samsung Galaxy S23 está travando constantemente durante qualquer tipo de uso, mesmo o mais básico.",Samsung Galaxy S23,Telefone,Reclamação,73,Urgente
Problema,nao ligo,Purificador de Água,Chat,Problema Técnico,44,Baixa
Defeito crítico no Geladeira,O Geladeira está fazendo barulho de estalos e a temperatura interna não é mantida corretamente. Não consegui agendamento na assistência. Tenho medicamentos que exigem refrigeração constante.,Geladeira,Chat,Cancelamento,27,Alta
Atendimento,o negocio parou,Câmera GoPro Hero,Chat,Reclamação,78,Baixa
Help,que absurdo,Smartwatch Garmin,Email,Problema Técnico,74,Baixa
Aquecedor a Gás parou - urgente,O Aquecedor a Gás desliga sozinho várias vezes por dia sem motivo aparente. Verifiquei a instalação elétrica e o problema é do aparelho. Tentei redefinir para padrão de fábrica sem sucesso.,Aquecedor a Gás,Chat,Reclamação,84,Urgente
Urgente: Fogão 5 Bocas com risco de incêndio,O Fogão 5 Bocas com bateria descarregando muito mais rápido do que o esperado e prometido.,Fogão 5 Bocas,Chat,Problema Técnico,60,Urgente
MacBook Air tela quebrada - urgente,O MacBook Air não liga mais e ainda está dentro do prazo legal de garantia do produto.,MacBook Air,Email,Solicitação de reembolso,67,Alta
Emergência: Aquecedor a Gás não funciona,Aquecedor a Gás offline.,Aquecedor a Gás,Email,Reclamação,54,Alta
Controle Xbox com comportamento estranho,O Controle Xbox reiniciando em loop contínuo e sem parar. Não consigo usar de jeito algum.,Controle Xbox,Telefone,Dúvida,82,Média
Freezer parou - urgente,O Freezer com defeito grave desde a compra não liga mais e está dentro da garantia. Já tentei todos os procedimentos descritos. Solicito visita técnica pois é essencial na rotina.,Freezer,Chat,Problema Técnico,78,Urgente
Problema grave no Fogão,Fogão sem resposta.,Fogão,Telefone,Cancelamento,51,Alta
Urgente: Freezer com risco de incêndio,O Freezer com botão físico principal travado. Não responde a nenhuma tentativa de acionamento.,Freezer,Telefone,Dúvida,60,Alta
Info sobre Xbox Series X,Comprei o Xbox Series X há quatro meses e ele travou completamente. A garantia está válida. Trabalho em home office e perco produtividade a cada hora. Não consigo acessar meus arquivos.,Xbox Series X,Telefone,Dúvida,22,Baixa
Smart TV LG 50 inoperante,O Smart TV LG 50 falhou completamente após atualização automática de firmware. Não consigo acessar o menu para reverter a versão. Preciso de suporte técnico remoto especializado com urgência total.,Smart TV LG 50,Email,Dúvida,28,Baixa
Urgente: Lavadora a Pressão com risco de incêndio,Botão travado.,Lavadora a Pressão,Chat,Problema Técnico,31,Urgente
Como usar Amazon Kindle,O Amazon Kindle desligando sozinho várias vezes ao dia sem nenhum motivo aparente ou justificável.,Amazon Kindle,Telefone,Solicitação de reembolso,73,Alta
Samsung Galaxy S23 não liga - prazo em risco,Samsung Galaxy S23 offline.,Samsung Galaxy S23,Telefone,Problema Técnico,21,Urgente
Problema,isso nao presta,Monitor LG 27,Email,Problema Técnico,79,Média
Preciso de ajuda,cadê o suporte,Lavadora a Pressão,Chat,Cancelamento,35,Baixa
Defeito no Roteador Wi-Fi,O Roteador Wi-Fi com botão físico principal travado. Não responde a nenhuma tentativa de acionamento.,Roteador Wi-Fi,Chat,Solicitação de reembolso,73,Alta
Help,nao resolve,Samsung Galaxy S23,Telefone,Problema Técnico,47,Média
Problema,parou do nada,Fone Bluetooth JBL,Chat,Problema Técnico,49,Baixa
